Text,True,pred
读图 结合 国情 推断 当时 我国 人口迁移 方向 年龄 构成 城市 迁往 农村 农村 迁往 城市 人口稠密 地区 迁往 人口 稀疏 地区 人口 稀疏 地区 迁往 人口稠密 地区 主要 迁出 人口 中青年 主要 迁出 人口 老年人 多为 自发 迁移 多为 短时间 迁移,地理 人口与城市 人口迁移与人口流动,人口与城市 地理
明代 内阁 清代 军机处 共同之处 统领 军队 处理 军务 参与 决策 负责 朝廷 事务 参与 政务 没有 决策权 负责 行政 安排 地方 事务,历史 古代史 “重农抑商”政策 郡县制 夏商两代的政治制度 中央官制——三公九卿制 皇帝制度,“重农抑商”政策 中央官制——三公九卿制 历史 古代史 夏商两代的政治制度 皇帝制度 郡县制
小轩 没有 吃 早餐 第四节 课时 饥饿 晕倒 此时 最好 喝 纯净水 矿泉水 葡萄糖 水 生理盐水,生物 稳态与环境 人体的体温调节 人体水盐平衡调节 血糖平衡的调节,生物
下列 基因工程 载体 叙述 中 正确 构建 基因文库 时 不 需要 载体 载体 都 环状 分子 一至 多个 限制 酶 切割 位点 只 来自 原核细胞,生物 生物技术实践 复等位基因 生物技术在其他方面的应用 基因工程的原理及技术 基因工程的概念,基因工程的原理及技术 基因工程的概念 复等位基因 生物 生物技术在其他方面的应用
公元前 世纪 古希腊 哲学家 提出 认识 感觉 自然 交互作用 产生 因人而异 视 个人 感觉 官能 有所不同 超 人性 真理 宗教 真理 都 不 存在 由此 推断 哲学家 肯定 人 尊严 否定 神灵 存在 强调 理性 至上 推崇 绝对真理,历史 近代史,历史 现代史
宏观调控 主要 目标 促进 经济 增长 增加 就业 保持 国际 收支平衡 稳定物价 调整 经济 结构,政治 公民道德与伦理常识 社会主义市场经济的伦理要求 劳动就业与守法经营,公民道德与伦理常识 劳动就业与守法经营 政治 社会主义市场经济的伦理要求
目前 工业 使用 能源 大部分 归根结底 来自 太阳能 地球 内部 能量 核能 潮汐能,地理 宇宙中的地球 太阳对地球的影响,地理 宇宙中的地球
太阳系 中离 地球 最近 天体 水星 金星 太阳 月球,地理 宇宙中的地球 地球所处的宇宙环境,地球所处的宇宙环境 地理 宇宙中的地球
汤显祖 牡丹亭 题词 中 写道 情 不知 所起 一往而深 生 死死 生生 不可 死死 不可 复生 皆 非情 下列 这段话 解读 正确 表明 文学 现实 相结合 当时 官方 哲学 否定 标志 民间文学 正式 诞生 早期 民主思想 产生 体现,历史 近代史,历史
梁启超 曾 说 知有 兵事 不知 民政 知有 朝廷 不知 国民 以为 吾 中国 政教 风俗 无一 不 优于 他国 批评 针对 中学 体西学 为用 师夷长 技以 制夷 军事 为主 民生 为辅 原封不动 维护 封建统治,历史 近代史,历史
太阳光球 层上 出现 暗 黑色 斑点 称为 太阳风 日珥 耀斑 黑子,地理 宇宙中的地球 太阳对地球的影响,地理 太阳对地球的影响 宇宙中的地球
一壶 开水 瓦特 转动 世界 元素 爱迪生 点燃 世界 爱迪生 点燃 世界 发明 电灯 电车 电话 电脑,历史 近代史,
一台 装有 目镜 物镜 显微镜 观察 面积 平方毫米 正方形 视野 中 正方形 面积 平方毫米 平方毫米 平方毫米 平方毫米,生物 分子与细胞 内质网的结构和功能 液泡的结构和功能 与细胞分裂有关的细胞器 核糖体的结构和功能 细胞的多样性和统一性 中心体的结构和功能 溶酶体的结构和功能 高尔基体的结构和功能,与细胞分裂有关的细胞器 中心体的结构和功能 内质网的结构和功能 分子与细胞 核糖体的结构和功能 液泡的结构和功能 溶酶体的结构和功能 生物 高尔基体的结构和功能
制约 环境 人口 容量 首要 因素 科技 发展 水平 地区 对外开放 程度 人口 生活 消费水平 资源 状况,地理 人口与城市,人口与城市 地理
兰州 黄河 河谷 而建 城市 整个 城市 呈 东西向 带状 分布 造成 这种 城市布局 特点 最 主要 区位 因素 矿产资源 分布 状况 政治经济 发展 交通运输 需要 地形 河流 分布,地理 人口与城市,地理
棘状 毛囊 角质化 一种 伴 染色体 显性 遗传病 下列 叙述 错误 该病 遗传 性别 人群 中 男性 患者 多于 女性 患者 男性 患者 女儿 必定 患病 患者 正常 子女 不 携带 患者 传递 致病 基因,生物 遗传与进化 遗传的分子基础 伴性遗传 人工授精、试管婴儿等生殖技术 生物性污染 避孕的原理和方法 遗传的细胞基础,人工授精、试管婴儿等生殖技术 生物 生物性污染 生物科学与社会 避孕的原理和方法
下面 周恩来 某次 国际 会议 上 发言 中华人民共和国 目前 正在 邻邦 进行 战争 战争 扩大 危险 不能不 加以 密切 注意 中国 人民 认为 朝鲜战争 停止 现在 印度支那 战争 同样 应该 停止 这次 会议 解决 朝鲜 问题 印度支那 问题 推动 亚非拉 民族 解放运动 高涨 改善 中国 美日 资本主义 关系 有利于 巩固 中国 南方 边陲 安全,历史 近代史,历史 现代史
请 回 下面 微生物 培养 应用 问题 微生物 培养 过程 中 获得 纯净 培养 物 关键 防止 入侵 微生物 接种 工具 接种 环 接种 针等 通常 采用 灭菌 方法 常用 微生物 接种 方法 有种 方法 常用 微生物 计数 运用 方法 计数 往往 比活 菌 实际 数目 农作物 秸秆 中 含有 大量 纤维素 利用 微生物 纤维素 转化 酒精 以供 人类 需 纤维素 转化 酒精 需要 先 纤维素 转化 葡萄糖 纤维素 转化 葡萄糖 酶 一种 复合 酶 包括 酶 酶 葡萄糖 转化 酒精 微生物 填真核 原核 生物 如表是 分离 某种 微生物 培养基 配方 成分 葡萄糖 物质 蒸馏水 琼脂 用量 表中 物质 最 可能 培养基 培养基 中 添加 琼脂 作用,生物 生物技术实践 生物工程技术,生物 生物工程技术 生物技术实践
产业革命 前 世界 人口 增长 缓慢 从根本上 说 是因为 人口 出生率 低 人口 死亡率 高 人口 自然 增长率 低 社会 生产力 水平 低,地理 人口与城市 人口增长与人口问题,人口与城市 人口增长与人口问题 地理
春秋时期 礼乐 征伐 天子 出 变为 礼乐 征伐 诸侯 出 这种 现象 主要 反映 周天子 失去 军事力量 周天子 权力下放 诸侯国 周天子 失去 天下 共 主 地位 诸侯国 帮助 周天子 巩固 地位,历史 古代史 “重农抑商”政策 郡县制 夏商两代的政治制度 中央官制——三公九卿制 皇帝制度,“重农抑商”政策 中央官制——三公九卿制 历史 古代史 夏商两代的政治制度 皇帝制度 郡县制
下列 叙述 正确 单倍体 生物 体细胞 中有 可能 含有 等位基因 染色体 组内 一定 不 含 等位基因 不 考虑 变异 常 染色体 上 某种 遗传病 男女 中 发病率 不 一定 相等 含有 致病 基因 不 一定 会患 遗传病 遗传病 患者 一定 含有 致病 基因 同源 染色体 形态 大小 不 一定 相同 形状 大小 相同 一定 同源 染色体 不 考虑 变异,生物 遗传与进化 不完全显性 人工授精、试管婴儿等生殖技术 生物性污染 避孕的原理和方法 拉马克的进化学说,人工授精、试管婴儿等生殖技术 生物 生物性污染 生物科学与社会 避孕的原理和方法
下列 孟德尔 豌豆 七 相对性状 杂交 实验 说法 中 错误 正确 运用 统计 方法 孟德尔 发现 不同 性状 杂交 实验 中 分离 具有 相同 规律 解释 实验 现象 时 提出 假说 产生 配子 时成 遗传因子 分离 假说 进行 演绎 产生 配子 时 成对 遗传因子 分离 测交 实验 后代 应 出现 两种 表现型 比例 假说 解释 自交 产生 分离 原因 假说 成立,生物 生物科学与社会 遗传的分子基础 人工授精、试管婴儿等生殖技术 生物性污染 避孕的原理和方法 遗传的细胞基础,人工授精、试管婴儿等生殖技术 生物 生物性污染 生物科学与社会 遗传的分子基础 遗传的细胞基础 避孕的原理和方法
紫草 素是 紫草 细胞 代谢 产物 生产 治疗 烫伤 药物 原料 研究 人员 欲用 植物 组织培养 技术 培养 紫草 细胞 生产 紫草 素 下列 相关 操作 不 合适 外植体 紫草 叶片 进行 消毒 处理 既保证 活性 可减轻 污染 培养基 中要 加入 植物 激素 保证 已 分化 植物 细胞 脱 分化 形成 愈伤 组织 调节 植物 激素 种类 比例 保证 愈伤 组织 再 分化 胚状体 培养 细胞 过程 中要 不断 通入 无菌 空气 保证 氧气 充足 供应,生物 现代生物技术专题 培养基与无菌技术 生物技术在其他方面的应用,培养基与无菌技术 生物 生物技术在其他方面的应用
读米 高空 气压 分布 状况 示意图 判断 下列 说法 正确 图中 各点 气压 点 对应 近 地面 气温 低 米 高空 空气 做 水平 运动 流向地 气压 形成 近 地面 空气 膨胀 上升 运动,地理 地球与地图,地理
胎儿 新生儿 体细胞 组织 切片 观察 难以 发现 遗传病 红绿色盲 先天性 愚型 镰刀 型 细胞 贫血症 猫叫 综合征,生物 生物科学与社会 不完全显性 人工授精、试管婴儿等生殖技术 生物性污染 避孕的原理和方法,不完全显性 人工授精、试管婴儿等生殖技术 生物 生物性污染 生物科学与社会 避孕的原理和方法
现实生活 中 经常 发现 不 文明 现象 反映 人 素质 低下 漫画 卧佛 启示 文化 建设 社会公德 中心环节 加强 科学 文化 修养 思想 道德修养 做 文明 公民 解放思想 开拓创新 不断 提高 物质 文化 生活 水平 培养 科学 世界观 人生观 价值观,政治 科学社会主义常识 社会主义是中国人民的历史性选择,政治 科学社会主义常识
组织液 生成 增多 大量 积累 细胞 间隙 会 导致 组织 水肿 下列 不能 引起 组织 水肿 营养不良 血浆 蛋白 含量 减少 花粉 过敏 使 毛细血管 通透性 增大 大量 饮水 组织液 含量 增加 尿量 增加 淋巴结 发炎 淋巴 回流 受阻,生物 稳态与环境 内环境的稳态,内环境的稳态 生物 稳态与环境
史载 周文王 孝友 二 虢 文王 同辈 而惠 慈二 蔡文 王子 辈刑 大 姒 比于 诸弟 即位 询于 八虞 文王 父辈 咨于 二虢度 闳 夭 谋于 南宫 诹 蔡原 讨于 辛尹 重之以 周 邵毕荣 四家 为文 王子 辈 材料 说明 文王 政治 血亲 关系 为主 干 分封制 成为 宗 法制 核心内容 早期 政治 权力 分散 微弱 文王 嫡长子 继承 制 维系 统治,历史 古代史 “重农抑商”政策 郡县制 夏商两代的政治制度 中央官制——三公九卿制 皇帝制度,“重农抑商”政策 中央官制——三公九卿制 历史 古代史 夏商两代的政治制度 皇帝制度 郡县制
西汉 贾谊 治安 策中 说 欲 天下 治安 众建 诸侯 而少 其力力 少则易 使 义国 小则亡 邪心 贾谊 这一 主张 后来 发展 成为 分封 建国 剥夺 王侯 爵位 推恩 令 监察 制度,历史 古代史 “重农抑商”政策 郡县制 夏商两代的政治制度 选官、用官制度的变化 中央官制——三公九卿制 皇帝制度,“重农抑商”政策 中央官制——三公九卿制 历史 古代史 夏商两代的政治制度 皇帝制度 郡县制
下列 各项 不 属于 细胞工程 实际 中 应用 培育 工程菌 使之能 产生 人 生长激素 甲 植物 细胞 内 叶绿体 移入 乙 植物 细胞 内 番茄 原生质 体 马铃薯 原生质 体 融合 培育出 番茄 ﹣ 马铃薯 能够 产生 抗体 细胞 小鼠 骨髓瘤 细胞融合 制备 单克隆 抗体,生物 现代生物技术专题 基因工程的概念 培养基与无菌技术 复等位基因 生物技术在其他方面的应用 基因工程的原理及技术,培养基与无菌技术 生物 生物技术在其他方面的应用
汉学家 许华茨 评论 某一 历史 事件 时说 这一 事件 常常 认为 表面 没有 社会 革命 这一 事件 仍然 结束 整个 君主政体 使 合法化 宇宙 思想 崩溃 事件 辛亥革命 新文化运动 五四运动 新 中国 成立,历史 近代史 清末民主革命风潮,历史 近代史
下列 双向 进行 人体 血浆 淋巴 之间 物质 转移 缩手 反射 时 兴奋 神经元 间 传递 大 麦草 胚芽鞘 中 生长素 极性 运输 青藏高原 生态系统 中 雪豹 野兔 间 信息 传递,生物 稳态与环境 内环境的稳态 生态系统的营养结构 兴奋在神经元之间的传递 激素调节 兴奋在神经纤维上的传导,内环境的稳态 生物 稳态与环境
图甲 表示 减数分裂 时期 分裂 图象 乙 表示 减数分裂 过程 中 每条 染色体 上 含量 下列 相关 叙述 正确 甲图 中 一对 同源 染色体 甲图 位于 乙图 段 同源 染色体 联会 发生 乙图 段 乙图 过程 中 细胞 中 染色体 数 不变,生物 生物科学与社会 人工授精、试管婴儿等生殖技术 生物性污染 减数分裂与有丝分裂的比较 避孕的原理和方法 减数分裂的概念,人工授精、试管婴儿等生殖技术 减数分裂与有丝分裂的比较 减数分裂的概念 生物 生物性污染 生物科学与社会 避孕的原理和方法
年 苏联 一位 农妇 马秀拉给 农民 报 写信 说 共产党 好像 竭力 使 所有 农民 变穷 农民 成功 改善 经营 会 贫农 队伍 中 除名 头上 贴 上 富农 标签 看作 苏维埃 政权 敌人 材料 表明 农民 战后 继续 实行 余粮收集 制 不满 新 经济 政策 没有 改善 农民 经济 状况 新 经济 政策 导致 农民 成为 政权 敌人 农民 经济 状况 改善 后 政治 地位 担忧,历史 现代史,历史 现代史
研究者 发现 世纪 医学 成为 人们 自信 最 直接 源头 牛顿 学说 众多 借鉴 中 发展 最 兴旺 学科 据此 世纪 医学 进步 源 动力 在于 科学 革命 影响 生物进化 思想 促进 医学 工作者 努力 资产阶级 革命 推动,历史 现代史,历史
下列 细胞 结构 功能 叙述 正确 细胞膜 上 糖蛋白 细胞 间 信息 交流 必需 结构 核膜 两层 磷脂 分子 组成 核内 物质 细胞质 分开 抗体 分泌 过程 中囊 泡膜经 融合 成为 细胞膜 一部分 大分子 有机物 载体 蛋白 协助 才能 进入 细胞 内,生物 分子与细胞 内质网的结构和功能 液泡的结构和功能 核糖体的结构和功能 走进细胞 溶酶体的结构和功能 高尔基体的结构和功能 中心体的结构和功能,中心体的结构和功能 内质网的结构和功能 分子与细胞 核糖体的结构和功能 液泡的结构和功能 溶酶体的结构和功能 生物 走进细胞 高尔基体的结构和功能
分别 三 同源 色体 来自 同一个 初级 精母细胞 四个 精子,生物 生物科学与社会 人工授精、试管婴儿等生殖技术 生物性污染 减数分裂与有丝分裂的比较 避孕的原理和方法,人工授精、试管婴儿等生殖技术 减数分裂与有丝分裂的比较 生物 生物性污染 生物科学与社会 避孕的原理和方法
阅读 表 由此 得出 最 恰当 结论 日本 海军 损失惨重 中国 北洋水师 全军覆灭 中国 北洋水师 主力 尚存 日本 取得 黄海 海域 制海权,历史 近代史 清末民主革命风潮,历史
天朝 田亩 制度 当时 历史 条件 下 具有 充分 革命性 资本主义 萌芽 开阔 发展 场所 这一 评价 基于 天朝 田亩 制度 否定 封建 地主 土地 所有制 顺应 近代 中国 经济 结构 变化 要求 资政 新篇 主张 异曲同工 实现 农民阶级 耕者有其 田 理想,历史 近代史 清末民主革命风潮,历史 近代史
燕麦 胚芽鞘 经如图 一所 示 处理 一段时间 后取 甲乙 两块 琼脂 置于 已切 去 尖端 胚芽鞘 相同 位置 上以 单侧 光照处理 如图 二 所示 相关 叙述 正确 甲 中 生长素 含量 乙 弯曲 生长 方向 相反 均 直立 生长 弯曲 程度 小于,生物 稳态与环境 激素调节,激素调节 生物 稳态与环境
下列 哪项 不是 中国政府 态度 禁止 生殖 性 克隆人 不 反对 治疗 性 克隆人 禁止 设计 试管婴儿 允许 利用 试管婴儿 技术 治疗 不孕 不育 问题,生物 生物技术实践 生物技术在其他方面的应用,生物 生物技术在其他方面的应用
田纳西河 水系 特点 叙述 正确 田纳西河 水系 发达 水量 丰富 全部 通航 田纳西河 地形 起伏 大 河流 落差 大 通航 里程 短 田纳西河 地形 起伏 大 河流 落差 大 水力资源 丰富 田纳西河 受 亚热带 气候 影响 水量 十分 稳定,地理 区域可持续发展,地理 生产活动与地域联系
